sequence,label
"-8.73,-6.28,-3.83,-1.38,1.07,3.52,5.97,8.42,10.87,13.32",arithmetic
"-8.14,-7.28,-6.42,-5.56,-4.70,-3.84,-2.98,-2.12,-1.26,-0.40",arithmetic
"-0.83,0.78,2.38,3.99,5.60,7.21,8.82",arithmetic
"4.46,5.43,6.40,7.38,8.35,9.33,10.30,11.27",arithmetic
"-6.75,-6.03,-5.30,-4.58,-3.86,-3.13,-2.41,-1.69,-0.96,-0.24,0.49",arithmetic
"-4.31,-1.65,1.02,3.69,6.35,9.02,11.68,14.35,17.01,19.68",arithmetic
"-7.11,-4.53,-1.96,0.62,3.19,5.77",arithmetic
"-5.71,-3.59,-1.47,0.65,2.78,4.90,7.02,9.15,11.27,13.39,15.52",arithmetic
"2.02,3.26,4.49,5.73,6.97,8.20,9.44,10.68,11.91,13.15,14.39",arithmetic
"-1.32,0.22,1.77,3.31,4.86,6.40",arithmetic
"1.11,4.00,6.89,9.78,12.67",arithmetic
"0.14,3.14,6.13,9.12,12.11,15.11,18.10,21.09",arithmetic
"-4.77,-1.97,0.83,3.64,6.44,9.24,12.05,14.85",arithmetic
"6.16,7.67,9.17,10.68,12.18,13.69",arithmetic
"7.81,9.53,11.25,12.96,14.68,16.40,18.11,19.83,21.54,23.26",arithmetic
"-4.57,-2.02,0.53,3.09,5.64,8.19",arithmetic
"7.05,8.47,9.89,11.31,12.73,14.16,15.58,17.00",arithmetic
"8.36,11.14,13.92,16.70,19.48,22.27,25.05,27.83,30.61",arithmetic
"-1.93,-0.49,0.95,2.38,3.82,5.26,6.70,8.14,9.57,11.01",arithmetic
"-2.75,-1.03,0.70,2.42,4.15,5.88,7.60,9.33",arithmetic
"1.57,3.11,4.66,6.20,7.74,9.29,10.83,12.38",arithmetic
"6.61,8.24,9.88,11.51,13.15",arithmetic
"4.18,6.24,8.31,10.38,12.45,14.52,16.59,18.66,20.72",arithmetic
"9.20,10.02,10.83,11.65,12.47,13.28,14.10,14.92,15.73,16.55,17.36",arithmetic
"-8.95,-6.07,-3.19,-0.32,2.56,5.44,8.31,11.19,14.07,16.94,19.82",arithmetic
"9.76,11.54,13.32,15.11,16.89,18.67,20.46,22.24,24.02,25.81",arithmetic
"-7.33,-6.57,-5.81,-5.05,-4.29,-3.53,-2.76,-2.00,-1.24,-0.48",arithmetic
"-6.95,-4.95,-2.94,-0.94,1.06,3.06,5.06,7.06,9.06,11.06",arithmetic
"9.04,10.57,12.10,13.63,15.16",arithmetic
"9.05,10.12,11.19,12.26,13.34,14.41",arithmetic
"-3.21,-2.21,-1.21,-0.20,0.80,1.81",arithmetic
"3.18,4.80,6.42,8.05,9.67,11.29,12.91,14.53",arithmetic
"1.47,2.74,4.02,5.30,6.57",arithmetic
"-6.55,-3.89,-1.23,1.43,4.09,6.75,9.40,12.06,14.72",arithmetic
"9.06,10.72,12.38,14.03,15.69,17.34,19.00,20.65,22.31",arithmetic
"8.00,10.45,12.91,15.36,17.81,20.27,22.72,25.17",arithmetic
"5.86,7.07,8.29,9.50,10.72,11.93",arithmetic
"7.48,8.72,9.96,11.20,12.44,13.68,14.92,16.16,17.40",arithmetic
"5.40,6.14,6.87,7.61,8.34,9.08,9.82,10.55,11.29",arithmetic
"-7.64,-6.26,-4.88,-3.50,-2.12,-0.74,0.64,2.03",arithmetic
"9.18,11.11,13.04,14.97,16.89,18.82",arithmetic
"2.73,5.52,8.30,11.09,13.87,16.65,19.44,22.22",arithmetic
"-5.83,-5.27,-4.72,-4.16,-3.61,-3.05,-2.49,-1.94,-1.38,-0.83,-0.27",arithmetic
"7.91,10.54,13.17,15.81,18.44,21.08",arithmetic
"9.05,11.62,14.18,16.74,19.30,21.86,24.42,26.99,29.55,32.11,34.67",arithmetic
"-6.38,-4.92,-3.47,-2.01,-0.56,0.89,2.35,3.80",arithmetic
"-8.15,-5.87,-3.59,-1.31,0.98,3.26,5.54,7.82,10.10,12.39",arithmetic
"-2.81,-0.88,1.04,2.96,4.88,6.81,8.73,10.65,12.57,14.49,16.42",arithmetic
"6.75,8.57,10.39,12.21,14.03,15.85,17.67,19.49,21.31,23.13",arithmetic
"-7.94,-5.61,-3.28,-0.95,1.38",arithmetic
"-3.33,-2.71,-2.10,-1.48,-0.87,-0.25,0.36",arithmetic
"8.66,9.88,11.09,12.31,13.52,14.74,15.96,17.17,18.39",arithmetic
"0.47,1.61,2.74,3.87,5.01",arithmetic
"-0.64,1.91,4.46,7.01,9.56,12.11,14.65,17.20,19.75",arithmetic
"9.76,10.65,11.55,12.44,13.33,14.23",arithmetic
"-2.99,-0.66,1.66,3.99,6.31,8.64,10.96,13.29,15.61,17.94,20.26",arithmetic
